season,team,pct,sum_poe
2016,LAL,0.207,5.41520552131213
2015,CHA,0.402,6.02311200861885
2018,WSH,0.524,5.83346195412923
2016,HOU,0.5,5.71965220011483
2014,BOS,0.305,5.50495600698607
2015,MIL,0.5,5.63594449604038
2015,CHI,0.61,5.5716590104982
2018,BKN,0.341,5.5654025436507
2016,TOR,0.683,5.73115942216635
2016,IND,0.549,5.51408275281359
2016,GS,0.89,5.9619205206812
2016,SA,0.817,5.8866270589354
2018,HOU,0.793,5.68059582081214
2017,DET,0.451,5.74632088336235
2015,WSH,0.561,5.58021002897484
2014,MEM,0.61,5.85067691662377
2016,ORL,0.427,5.48874924865817
2014,MIL,0.183,5.41534667196945
2016,UTAH,0.488,5.64873835363958
2015,PHI,0.22,4.90410512066136
2016,DEN,0.402,5.65210899758748
2015,NO,0.549,5.92469920507148
2018,LAC,0.512,5.93303401492812
2016,CLE,0.695,6.03810422759354
2017,DAL,0.402,5.88200754629518
2016,OKC,0.671,6.06852590807943
2018,PHX,0.256,5.81612834765553
2017,SAC,0.39,5.55700137700848
2014,NO,0.415,5.9401943815242
2017,UTAH,0.622,5.78241061663599
2015,MEM,0.671,5.54751428610409
2018,POR,0.598,5.69448169782158
2016,MIL,0.402,5.75345036857929
2014,CHA,0.524,6.03951408663488
2016,ATL,0.585,5.60009737970896
2018,TOR,0.72,5.96026727643542
2015,SA,0.671,5.94042830813405
2018,IND,0.585,5.64535557836669
2017,WSH,0.598,5.72557142406348
2014,GS,0.622,5.77706589721714
2018,ATL,0.293,5.53663170810533
2017,MEM,0.524,5.34578458872722
2015,GS,0.817,6.07085274655186
2015,DEN,0.366,5.496132379558
2014,CHI,0.585,5.49069036747566
2014,DEN,0.439,5.50983132795921
2016,PHX,0.28,5.51536267146711
2014,MIA,0.659,5.86425782733586
2018,ORL,0.305,5.67211838231359
2017,TOR,0.622,5.87717282614505
2018,SAC,0.329,5.61722781388725
2018,PHI,0.634,5.90267731952618
2018,NY,0.354,5.65098610640307
2014,MIN,0.488,5.6926045690659
2016,MIN,0.354,5.56391198574093
2014,POR,0.659,5.92407544423107
2015,MIN,0.195,5.42974247720938
2015,HOU,0.683,5.94330298449618
2015,IND,0.463,5.60131398738453
2015,BOS,0.488,5.64868337489203
2017,CHA,0.439,5.77889321462556
2015,ATL,0.732,5.52308986077202
2018,MEM,0.268,5.52990410415279
2018,CLE,0.61,5.87376799191816
2016,LAC,0.646,5.77019040452395
2015,TOR,0.598,6.25277336553408
2018,DET,0.476,5.35716620871119
2017,GS,0.817,6.14685620856061
2014,DET,0.354,5.98087987985859
2016,POR,0.537,5.96925475817122
2015,SAC,0.354,5.36781495433368
2014,PHX,0.585,5.48798006242294
2017,DEN,0.488,5.81398420279379
2015,DET,0.39,5.38346132114474
2016,PHI,0.122,5.25791123688245
2015,MIA,0.451,5.77873341572833
2017,NO,0.415,5.40486646665584
2017,HOU,0.671,5.80582994550973
2017,NY,0.378,6.06763873650959
2016,CHA,0.585,5.42664183037006
2017,BOS,0.646,5.7336096139334
2014,PHI,0.232,5.51367084997789
2016,DAL,0.512,5.46037025889509
2017,ORL,0.354,5.40501566066693
2014,HOU,0.659,5.74458229649319
2018,MIA,0.537,5.61416642548538
2018,LAL,0.427,5.72998687840617
2016,NO,0.366,5.60930433840779
2016,WSH,0.5,5.47315901108584
2014,WSH,0.537,5.8600967243008
2017,SA,0.744,6.04560441047125
2015,DAL,0.61,5.86898107674227
2014,BKN,0.537,5.65051108221467
2018,SA,0.573,5.48524718366865
2015,OKC,0.549,5.75880839696956
2014,LAC,0.695,6.18279385828466
2015,ORL,0.305,5.73527766502358
2014,ATL,0.463,5.71311025483268
2017,CHI,0.5,6.07571029906447
2016,BOS,0.585,5.65700072306484
2015,UTAH,0.463,5.68257832987033
2018,CHI,0.329,5.56593058770463
2016,CHI,0.512,5.45800865137298
2014,SA,0.756,5.99208560710609
2017,POR,0.5,6.02656690530668
2015,BKN,0.463,5.48784085499735
2014,NY,0.451,5.90490827519853
2014,LAL,0.329,5.58815355768523
2015,LAC,0.683,6.18122466814735
2017,IND,0.512,5.89093093820405
2017,CLE,0.622,5.81731803777357
2017,MIA,0.5,5.7311867631848
2016,SAC,0.402,5.92715232540987
2016,NY,0.39,5.40151528162825
2017,MIN,0.378,5.64658429238686
2017,MIL,0.512,5.66480618529037
2015,CLE,0.646,5.91761355367914
2018,BOS,0.671,5.49301766411939
2017,PHX,0.293,5.93438525020445
2016,BKN,0.256,5.48553561744344
2017,ATL,0.524,5.54751646922455
2016,MEM,0.512,5.36134334853848
2017,OKC,0.573,5.58751561462498
2017,BKN,0.244,5.27485040363625
2018,GS,0.707,5.95175296399719
2014,IND,0.683,5.41875458079683
2018,DAL,0.293,6.02878783178291
2018,CHA,0.439,5.45454002794834
2018,OKC,0.585,5.83367635360023
2017,LAC,0.622,5.84209407141684
2014,TOR,0.585,5.71913390024974
2014,ORL,0.28,5.39172826893014
2017,PHI,0.341,5.30800225392172
2018,NO,0.585,5.64125092399886
2018,UTAH,0.585,6.02507809663107
2018,MIL,0.537,5.58119780445081
2014,DAL,0.598,6.31285404932683
2015,POR,0.622,5.60701268960243
2016,MIA,0.585,5.61419991725814
2018,MIN,0.573,5.81697670620807
2015,LAL,0.256,5.70840165868887
2014,OKC,0.72,5.96573055249965
2014,UTAH,0.305,5.4862825836825
2014,CLE,0.402,5.72317299297904
2015,PHX,0.476,5.97470094658876
2017,LAL,0.317,5.61473584214267
2016,DET,0.537,5.48167999218617
2015,NY,0.207,5.49802598282126
2014,SAC,0.341,5.40653600405371
2018,DEN,0.561,5.82745424634155
